tag_a,tag_b,edit_distance,differs,phonetic,adjacent
-10F1,-10F3,1,1/3,False,True
-10F1,-10F4,1,1/4,True,False
-10F1,-11F1,1,0/1,False,False
-10F1,-12F1,1,0/2,False,False
-10F1,-14F1,1,0/4,False,False
-10F1,-1F1,1,len,False,False
-10F3,-10F4,1,3/4,False,True
-10F3,-12F3,1,0/2,False,False
-10F3,-1F3,1,len,False,False
-10F4,-12F4,1,0/2,False,False
-11F1,-11F2,1,1/2,False,True
-11F1,-12F1,1,1/2,False,False
-11F1,-14F1,1,1/4,True,False
-11F1,-1F1,1,len,False,False
-11F2,-12F2,1,1/2,False,False
-11F2,-1F2,1,len,False,False
-12F1,-12F2,1,1/2,False,True
-12F1,-12F3,1,1/3,False,False
-12F1,-12F4,1,1/4,True,False
-12F1,-12F5,1,1/5,False,False
-12F1,-12F6,1,1/6,False,False
-12F1,-14F1,1,2/4,False,False
-12F1,-1F1,1,len,False,False
-12F1,-2F1,1,len,False,False
-12F2,-12F3,1,2/3,False,True
-12F2,-12F4,1,2/4,False,False
-12F2,-12F5,1,2/5,False,False
-12F2,-12F6,1,2/6,False,False
-12F2,-1F2,1,len,False,False
-12F2,-2F2,1,len,False,False
-12F3,-12F4,1,3/4,False,True
-12F3,-12F5,1,3/5,False,False
-12F3,-12F6,1,3/6,False,False
-12F3,-1F3,1,len,False,False
-12F3,-2F3,1,len,False,False
-12F4,-12F5,1,4/5,False,True
-12F4,-12F6,1,4/6,False,False
-12F5,-12F6,1,5/6,False,True
-13K1,-13K2,1,1/2,False,False
-13K1,-13K3,1,1/3,False,False
-13K1,-13K4,1,1/4,True,False
-13K1,-14K1,1,3/4,False,False
-13K2,-13K3,1,2/3,False,False
-13K2,-13K4,1,2/4,False,False
-13K2,-14K2,1,3/4,False,False
-13K3,-13K4,1,3/4,False,False
-14F1,-14K1,1,F/K,False,False
-14F1,-1F1,1,len,False,False
-14F1,-4F1,1,len,False,False
-14K1,-14K2,1,1/2,False,False
-1F1,-1F2,1,1/2,False,False
-1F1,-1F3,1,1/3,False,False
-1F1,-1Q1,1,F/Q,False,True
-1F1,-2F1,1,1/2,False,False
-1F1,-3F1,1,1/3,False,False
-1F1,-4F1,1,1/4,True,False
-1F1,-5F1,1,1/5,False,False
-1F1,-6F1,1,1/6,False,False
-1F1,-7F1,1,1/7,False,False
-1F1,-8F1,1,1/8,False,False
-1F2,-1F3,1,2/3,False,True
-1F2,-1Q2,1,F/Q,False,False
-1F2,-2F2,1,1/2,False,False
-1F2,-3F2,1,1/3,False,False
-1F2,-4F2,1,1/4,True,False
-1F2,-5F2,1,1/5,False,False
-1F2,-7F2,1,1/7,False,False
-1F2,-8F2,1,1/8,False,False
-1F3,-1Q3,1,F/Q,False,False
-1F3,-2F3,1,1/2,False,False
-1F3,-3F3,1,1/3,False,False
-1F3,-4F3,1,1/4,True,False
-1F3,-5F3,1,1/5,False,False
-1F3,-7F3,1,1/7,False,False
-1F3,-8F3,1,1/8,False,False
-1Q1,-1Q2,1,1/2,False,False
-1Q1,-1Q3,1,1/3,False,False
-1Q1,-2Q1,1,1/2,False,False
-1Q2,-1Q3,1,2/3,False,True
-1Q2,-2Q2,1,1/2,False,False
-1Q3,-2Q3,1,1/2,False,False
-2F1,-2F2,1,1/2,False,True
-2F1,-2F3,1,1/3,False,False
-2F1,-2Q1,1,F/Q,False,False
-2F1,-3F1,1,2/3,False,False
-2F1,-4F1,1,2/4,False,False
-2F1,-5F1,1,2/5,False,False
-2F1,-6F1,1,2/6,False,False
-2F1,-7F1,1,2/7,False,False
-2F1,-8F1,1,2/8,False,False
-2F2,-2F3,1,2/3,False,True
-2F2,-2Q2,1,F/Q,False,False
-2F2,-3F2,1,2/3,False,False
-2F2,-4F2,1,2/4,False,False
-2F2,-5F2,1,2/5,False,False
-2F2,-7F2,1,2/7,False,False
-2F2,-8F2,1,2/8,False,False
-2F3,-2Q3,1,F/Q,False,False
-2F3,-3F3,1,2/3,False,False
-2F3,-4F3,1,2/4,False,False
-2F3,-5F3,1,2/5,False,False
-2F3,-7F3,1,2/7,False,False
-2F3,-8F3,1,2/8,False,False
-2Q1,-2Q2,1,1/2,False,False
-2Q1,-2Q3,1,1/3,False,False
-2Q2,-2Q3,1,2/3,False,False
-3F1,-3F2,1,1/2,False,True
-3F1,-3F3,1,1/3,False,False
-3F1,-3F4,1,1/4,True,False
-3F1,-4F1,1,3/4,False,False
-3F1,-5F1,1,3/5,False,False
-3F1,-6F1,1,3/6,False,False
-3F1,-7F1,1,3/7,False,False
-3F1,-8F1,1,3/8,False,False
-3F2,-3F3,1,2/3,False,True
-3F2,-3F4,1,2/4,False,False
-3F2,-4F2,1,3/4,False,False
-3F2,-5F2,1,3/5,False,False
-3F2,-7F2,1,3/7,False,False
-3F2,-8F2,1,3/8,False,False
-3F3,-3F4,1,3/4,False,True
-3F3,-4F3,1,3/4,False,False
-3F3,-5F3,1,3/5,False,False
-3F3,-7F3,1,3/7,False,False
-3F3,-8F3,1,3/8,False,False
-3F4,-6F4,1,3/6,False,False
-3F4,-7F4,1,3/7,False,False
-3F4,-8F4,1,3/8,False,False
-4F1,-4F2,1,1/2,False,True
-4F1,-4F3,1,1/3,False,False
-4F1,-4F5,1,1/5,False,False
-4F1,-4F6,1,1/6,False,False
-4F1,-4F7,1,1/7,False,False
-4F1,-5F1,1,4/5,False,False
-4F1,-6F1,1,4/6,False,False
-4F1,-7F1,1,4/7,False,False
-4F1,-8F1,1,4/8,False,False
-4F2,-4F3,1,2/3,False,True
-4F2,-4F5,1,2/5,False,False
-4F2,-4F6,1,2/6,False,False
-4F2,-4F7,1,2/7,False,False
-4F2,-5F2,1,4/5,False,False
-4F2,-7F2,1,4/7,False,False
-4F2,-8F2,1,4/8,False,False
-4F3,-4F5,1,3/5,False,True
-4F3,-4F6,1,3/6,False,False
-4F3,-4F7,1,3/7,False,False
-4F3,-5F3,1,4/5,False,False
-4F3,-7F3,1,4/7,False,False
-4F3,-8F3,1,4/8,False,False
-4F5,-4F6,1,5/6,False,True
-4F5,-4F7,1,5/7,False,False
-4F5,-7F5,1,4/7,False,False
-4F5,-8F5,1,4/8,False,False
-4F6,-4F7,1,6/7,False,True
-4F6,-7F6,1,4/7,False,False
-4F6,-8F6,1,4/8,False,False
-4F7,-7F7,1,4/7,False,False
-4F7,-8F7,1,4/8,False,False
-5F1,-5F2,1,1/2,False,True
-5F1,-5F3,1,1/3,False,False
-5F1,-6F1,1,5/6,False,False
-5F1,-7F1,1,5/7,False,False
-5F1,-8F1,1,5/8,False,False
-5F2,-5F3,1,2/3,False,True
-5F2,-7F2,1,5/7,False,False
-5F2,-8F2,1,5/8,False,False
-5F3,-7F3,1,5/7,False,False
-5F3,-8F3,1,5/8,False,False
-6F1,-6F4,1,1/4,True,True
-6F1,-7F1,1,6/7,False,False
-6F1,-8F1,1,6/8,False,False
-6F4,-7F4,1,6/7,False,False
-6F4,-8F4,1,6/8,False,False
-7F1,-7F2,1,1/2,False,True
-7F1,-7F3,1,1/3,False,False
-7F1,-7F4,1,1/4,True,False
-7F1,-7F5,1,1/5,False,False
-7F1,-7F6,1,1/6,False,False
-7F1,-7F7,1,1/7,False,False
-7F1,-7F8,1,1/8,False,False
-7F1,-7F9,1,1/9,False,False
-7F1,-8F1,1,7/8,False,False
-7F2,-7F3,1,2/3,False,True
-7F2,-7F4,1,2/4,False,False
-7F2,-7F5,1,2/5,False,False
-7F2,-7F6,1,2/6,False,False
-7F2,-7F7,1,2/7,False,False
-7F2,-7F8,1,2/8,False,False
-7F2,-7F9,1,2/9,False,False
-7F2,-8F2,1,7/8,False,False
-7F3,-7F4,1,3/4,False,True
-7F3,-7F5,1,3/5,False,False
-7F3,-7F6,1,3/6,False,False
-7F3,-7F7,1,3/7,False,False
-7F3,-7F8,1,3/8,False,False
-7F3,-7F9,1,3/9,False,False
-7F3,-8F3,1,7/8,False,False
-7F4,-7F5,1,4/5,False,True
-7F4,-7F6,1,4/6,False,False
-7F4,-7F7,1,4/7,False,False
-7F4,-7F8,1,4/8,False,False
-7F4,-7F9,1,4/9,False,False
-7F4,-8F4,1,7/8,False,False
-7F5,-7F6,1,5/6,False,True
-7F5,-7F7,1,5/7,False,False
-7F5,-7F8,1,5/8,False,False
-7F5,-7F9,1,5/9,False,False
-7F5,-8F5,1,7/8,False,False
-7F6,-7F7,1,6/7,False,True
-7F6,-7F8,1,6/8,False,False
-7F6,-7F9,1,6/9,True,False
-7F6,-8F6,1,7/8,False,False
-7F7,-7F8,1,7/8,False,True
-7F7,-7F9,1,7/9,False,False
-7F7,-8F7,1,7/8,False,False
-7F8,-7F9,1,8/9,False,True
-7F8,-8F8,1,7/8,False,False
-8F1,-8F2,1,1/2,False,True
-8F1,-8F3,1,1/3,False,False
-8F1,-8F4,1,1/4,True,False
-8F1,-8F5,1,1/5,False,False
-8F1,-8F6,1,1/6,False,False
-8F1,-8F7,1,1/7,False,False
-8F1,-8F8,1,1/8,False,False
-8F2,-8F3,1,2/3,False,True
-8F2,-8F4,1,2/4,False,False
-8F2,-8F5,1,2/5,False,False
-8F2,-8F6,1,2/6,False,False
-8F2,-8F7,1,2/7,False,False
-8F2,-8F8,1,2/8,False,False
-8F3,-8F4,1,3/4,False,True
-8F3,-8F5,1,3/5,False,False
-8F3,-8F6,1,3/6,False,False
-8F3,-8F7,1,3/7,False,False
-8F3,-8F8,1,3/8,False,False
-8F4,-8F5,1,4/5,False,True
-8F4,-8F6,1,4/6,False,False
-8F4,-8F7,1,4/7,False,False
-8F4,-8F8,1,4/8,False,False
-8F5,-8F6,1,5/6,False,True
-8F5,-8F7,1,5/7,False,False
-8F5,-8F8,1,5/8,False,False
-8F6,-8F7,1,6/7,False,True
-8F6,-8F8,1,6/8,False,False
-8F7,-8F8,1,7/8,False,True
