frame,row,position,tag,kind,detail,rail,spoken
left frame,1,1,-X1,strip,6 terminals,-D5,"left frame, row 1, strip X1"
left frame,1,2,-X4,strip,9 terminals,-D5,"left frame, row 1, strip X4"
left frame,1,3,-X5,strip,20 terminals,-D5,"left frame, row 1, strip X5"
left frame,2,1,-1Q1,device,400V 63A 4pol,-D4,"left frame, row 2, position 1"
left frame,2,2,-1F1,device,EPS-T2/3+1-275-FM,-D4,"left frame, row 2, position 2"
left frame,3,1,-5F1,device,"2P 16A-B/30mA, Typ A",-D3,"left frame, row 3, position 1"
left frame,3,2,-5F2,device,"2P 13A-B/30mA, Typ A",-D3,"left frame, row 3, position 2"
left frame,3,3,-5F3,device,"2P 13A-B/30mA, Typ A",-D3,"left frame, row 3, position 3"
left frame,3,4,-6F1,device,"2P 16A-B/30mA, Typ A",-D3,"left frame, row 3, position 4"
left frame,3,5,-6F4,device,"iC40N,1P+N,10A,B",-D3,"left frame, row 3, position 5"
left frame,3,6,-14F1,device,"C60N,3P,10A,B",-D3,"left frame, row 3, position 6"
left frame,3,7,-14K2,device,Dämmerungsschalter,-D3,"left frame, row 3, position 7"
left frame,4,1,-2Q1,device,"FI,4P,40A,30mA, Typ A",-D2,"left frame, row 4, position 1"
left frame,4,2,-7F1,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 2"
left frame,4,3,-7F2,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 3"
left frame,4,4,-7F3,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 4"
left frame,4,5,-7F4,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 5"
left frame,4,6,-7F5,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 6"
left frame,4,7,-7F6,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 7"
left frame,4,8,-7F7,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 8"
left frame,4,9,-7F8,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 9"
left frame,4,10,-7F9,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 10"
left frame,4,11,-8F1,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 11"
left frame,4,12,-8F2,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 12"
left frame,4,13,-8F3,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 13"
left frame,4,14,-8F4,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 14"
left frame,4,15,-8F5,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 15"
left frame,4,16,-8F6,device,"C60N,1P,16A,B",-D2,"left frame, row 4, position 16"
left frame,4,17,-8F7,device,"C60N,1P,10A,B",-D2,"left frame, row 4, position 17"
left frame,4,18,-8F8,device,"C60N,1P,10A,B",-D2,"left frame, row 4, position 18"
left frame,4,19,-14K1,device,Netzüberwachungsrelais,-D2,"left frame, row 4, position 19"
left frame,5,1,-1F2,device,0792,-D1,"left frame, row 5, position 1"
left frame,5,2,-1F3,device,0792,-D1,"left frame, row 5, position 2"
left frame,5,3,-2F1,device,0792,-D1,"left frame, row 5, position 3"
left frame,5,4,-2F2,device,0792,-D1,"left frame, row 5, position 4"
left frame,5,5,-2F3,device,0792,-D1,"left frame, row 5, position 5"
right frame,1,1,-X2,strip,11 terminals,-D15,"right frame, row 1, strip X2"
right frame,1,2,-X3,strip,11 terminals,-D15,"right frame, row 1, strip X3"
