file,seg,start_s,api_raw,local_raw,expected,api_ok,local_ok,note
Schaltschrankbau.m4a,0,0.0,,"minus x1, terminal 1, minus x1, terminal 2, minus x1, terminal 3,",,,,
Schaltschrankbau.m4a,1,14.7,,minus x4 terminal 1,,,,
Schaltschrankbau.m4a,2,21.64,,minus x4 terminal 2,,,,
Schaltschrankbau.m4a,3,26.64,,minus x4 terminal 3,,,,
Schaltschrankbau.m4a,4,31.62,,minus x4 terminal 4,,,,
Schaltschrankbau.m4a,5,36.66,,minus x4 terminal 5,,,,
Schaltschrankbau.m4a,6,41.74,,"minus x4 terminal 6, minus x4 terminal 7, minus x4 terminal 8, minus 1q1, minus 5f1,",,,,
Schaltschrankbau.m4a,7,66.74,,"Minus 5, F2",,,,
Schaltschrankbau.m4a,8,70.8,,"Minus 5, F3",,,,
Schaltschrankbau.m4a,9,75.2,,"Minus 6, F1",,,,
Schaltschrankbau.m4a,10,79.32,,"Minus 6, F4",,,,
Schaltschrankbau.m4a,11,83.38,,"Minus 14, F1",,,,
Schaltschrankbau.m4a,12,87.84,,"Minus 7, F1",,,,
Schaltschrankbau.m4a,13,93.46,,"Minus 7, F8",,,,
Schaltschrankbau.m4a,14,97.46,,"Minus 8, F3",,,,
Schaltschrankbau.m4a,15,101.56,,"Minus 8, F8",,,,
Schaltschrankbau.m4a,16,105.8,,"Minus 1, Q2",,,,
Schaltschrankbau.m4a,17,116.76,,"Minus 13, K1",,,,
Schaltschrankbau.m4a,18,120.76,,minus 3 f1 minus 13 k2 minus 12 f6 minus 2 q3 minus 2 q2 minus 10 f1,,,,
