frame,row,position,tag,kind,detail,spoken
left frame,1,1,-J129,device,ED138,"left frame, row 1, position 1"
left frame,2,1,-D5,device,ED2,"left frame, row 2, position 1"
left frame,2,2,-X1,strip,6 terminals,"left frame, row 2, strip X1"
left frame,2,3,-X4,strip,9 terminals,"left frame, row 2, strip X4"
left frame,2,4,-X5,strip,20 terminals,"left frame, row 2, strip X5"
left frame,3,1,-J133,device,ED138,"left frame, row 3, position 1"
left frame,4,1,-J130,device,ED138,"left frame, row 4, position 1"
left frame,5,1,-D4,device,ED2,"left frame, row 5, position 1"
left frame,5,2,-1Q1,device,400V 63A 4pol,"left frame, row 5, position 2"
left frame,5,3,-1F1,device,EPS-T2/3+1-275-FM,"left frame, row 5, position 3"
left frame,6,1,-D3,device,ED2,"left frame, row 6, position 1"
left frame,6,2,-5F1,device,"2P 16A-B/30mA, Typ A","left frame, row 6, position 2"
left frame,6,3,-5F2,device,"2P 13A-B/30mA, Typ A","left frame, row 6, position 3"
left frame,6,4,-5F3,device,"2P 13A-B/30mA, Typ A","left frame, row 6, position 4"
left frame,6,5,-6F1,device,"2P 16A-B/30mA, Typ A","left frame, row 6, position 5"
left frame,6,6,-6F4,device,"iC40N,1P+N,10A,B","left frame, row 6, position 6"
left frame,6,7,-14F1,device,"C60N,3P,10A,B","left frame, row 6, position 7"
left frame,6,8,-14K2,device,Dämmerungsschalter,"left frame, row 6, position 8"
left frame,7,1,-D2,device,ED2,"left frame, row 7, position 1"
left frame,7,2,-2Q1,device,"FI,4P,40A,30mA, Typ A","left frame, row 7, position 2"
left frame,7,3,-7F1,device,"C60N,1P,16A,B","left frame, row 7, position 3"
left frame,7,4,-7F2,device,"C60N,1P,16A,B","left frame, row 7, position 4"
left frame,7,5,-7F3,device,"C60N,1P,16A,B","left frame, row 7, position 5"
left frame,7,6,-7F4,device,"C60N,1P,16A,B","left frame, row 7, position 6"
left frame,7,7,-7F5,device,"C60N,1P,16A,B","left frame, row 7, position 7"
left frame,7,8,-7F6,device,"C60N,1P,16A,B","left frame, row 7, position 8"
left frame,7,9,-7F7,device,"C60N,1P,16A,B","left frame, row 7, position 9"
left frame,7,10,-7F8,device,"C60N,1P,16A,B","left frame, row 7, position 10"
left frame,7,11,-7F9,device,"C60N,1P,16A,B","left frame, row 7, position 11"
left frame,7,12,-8F1,device,"C60N,1P,16A,B","left frame, row 7, position 12"
left frame,7,13,-8F2,device,"C60N,1P,16A,B","left frame, row 7, position 13"
left frame,7,14,-8F3,device,"C60N,1P,16A,B","left frame, row 7, position 14"
